"filename", "language", "Markdown", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "MS SQL", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\index.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\bootstrap.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 2, 3, 28
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\messaging.ts", "TypeScript", 0, 0, 0, 0, 179, 0, 0, 0, 20, 199
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\reminders.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 18, 10, 133
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\booking.service.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\messaging.service.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 0, 12, 103
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\org.service.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\reminder.service.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 16, 98
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\availability\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 335, 6, 32, 373
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\orgs\[orgId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\orgs\[orgId]\sites\[siteId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 9, 80
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\reminders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 1, 5, 67
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\lib\hooks\useApi.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\lib\hooks\useAuth.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 7, 10, 64
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\lib\hooks\useData.ts", "TypeScript", 0, 0, 0, 0, 186, 0, 0, 33, 22, 241
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\lib\hooks\useSite.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 7, 12, 67
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\middleware.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\next.config.mjs", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 1, 2, 21
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\public\manifest.json", "JSON", 0, 0, -12, 0, 0, 0, 0, 0, 0, -12
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\tsconfig.json", "JSON with Comments", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 4050, 1, -9, 18, 798, 57, 486, 86, 1261, 6748
